"","identifier","period.start","period.end"
"3","Stadtmauer mit Hafentor am Humeitepe","Late Hellenistic","Early Byzantine / Late Antiquity"
"4","Tabernae am Athenatempel","Roman imperial","Roman imperial"
"6","Delphinion - hellenistischer Umbau I","Hellenistic","Hellenistic"
"7","von-Gerkan-Mauer","Recent / Modern","Recent / Modern"
"8","Insula QR/18-19 Byzantinisch",NA,NA
"9","Insula KL/12-13",NA,"Roman imperial"
"10","Rundkirche","Byzantine","Byzantine"
"11","Apsidenbau mit Propylon","Roman imperial","Roman imperial"
"12","Pi-foermige Halle","Hellenistic","Hellenistic"
"13","Thermen am Westmarkt","Middle Imperial","Middle Imperial"
"14","Grosses Hafenmonument","Late Hellenistic","Early imperial"
"17","Propylon des Serapistempels - Nutzung als byzantinisches Stadttor","Byzantine","Byzantine"
"18","Stadtmauer am Kaletepe","Hellenistic","Early Byzantine / Late Antiquity"
"19","Tempelkirche","Early Byzantine / Late Antiquity","Early Byzantine / Late Antiquity"
"20","Doppelapsidenbau","Late Antiquity","Late Antiquity"
"21","Magazinhalle am Suedmarkt","Early hellenistic","Early hellenistic"
"23","Graeber unter der Friedhofskirche","Middle Imperial","Late Antiquity"
"24","Nordmarkt","Early hellenistic","Roman imperial"
"25","Heroon III","Roman imperial","Roman imperial"
"26","Nymphaeumsaquaedukt","Early imperial","Early imperial"
"29","Hellenistisches Gebaeude unter Heroon III","Hellenistic","Hellenistic"
"30","Temenos mit Tempel","Roman imperial","Roman imperial"
"31","Stadtmauer - Suedliche Quermauer, erste Anlage","Early hellenistic","Late Hellenistic"
"33","Hallenbau am sog. Nordmarkt","Roman imperial","Roman imperial"
"36","Tempel A","Hellenistic","Hellenistic"
"39","Suedmarkt - Latrine","Late Imperial","Late Imperial"
"43","Eski Balat Gebaeude","Recent / Modern","Recent / Modern"
"44","Ionische Halle","Roman imperial","Roman imperial"
"45","Stadtmauer - Suedliche Quermauer, spaethellenistischer Ausbau","Late Hellenistic","Late Antiquity"
"46","Hellenistisches Peristyl","Hellenistic","Hellenistic"
"47","Faustinathermen","Roman imperial","Late Antiquity"
"49","Stadiontor","Late Imperial","Early Byzantine / Late Antiquity"
"50","Thermen am Museum","Late Imperial","Late Imperial"
"51","Hafenhalle - Latrine","Late Imperial","Byzantine"
"52","Friedhofskirche","Byzantine","Byzantine"
"53","Kleiner Hallenplatz","Early hellenistic","Early hellenistic"
"55","Propylon des Serapistempels","Middle Imperial","Byzantine"
"58","Westmarkt","Hellenistic","Hellenistic"
"59","Theaterkastell","Late Byzantine","Late Byzantine"
"60","Befestigung des Kaletepe","Late Byzantine","Late Byzantine"
"61","Basilika am Suedmarkt","Roman imperial","Roman imperial"
"62","Befestigungsmauer am Humeitepe","Late Imperial","Early Byzantine / Late Antiquity"
"63","Heroon II","Middle Imperial","Late Antiquity"
"65","Insula QR/18-19 Spaethellenistisch",NA,NA
"66","Toepferwerkstatt beim Bischofspalast","Late Byzantine","Ottoman"
"68","Byzantinischer Wohnturm","Byzantine","Byzantine"
"69","Peristylhaus am Suedmarkt","Roman imperial","Roman imperial"
"71","Roemisches Hofhaus am Athenatempel","Roman imperial","Roman imperial"
"72","Thermenkastell","Late Imperial","Late Antiquity"
"74","Synagoge","Late Antiquity","Late Antiquity"
"77","Insula QR/18-19 Spaetantik",NA,NA
"81","Tempel B","Roman imperial","Roman imperial"
"82","Delphinion - Fruehhellenistisch","Early hellenistic","Early hellenistic"
"83","Insula QR/18-19 Klassisch",NA,NA
"84","Altar des Demetertempels","Hellenistic","Hellenistic"
"85","Byzantinische Stadtmauer","Early Byzantine / Late Antiquity","Early Byzantine / Late Antiquity"
"87","Grosse Kirche","Early Byzantine / Late Antiquity","Early Byzantine / Late Antiquity"
"88","Dionysosheiligtum","Hellenistic","Roman imperial"
"93","Aelteres heiliges Tor","Classical","Hellenistic"
"94","Kaianlagen am suedlichen Loewenhafen","Hellenistic","Roman imperial"
"95","Loewentor","Hellenistic","Late Antiquity"
"96","Stadtmauer - Ostmauer","Early hellenistic","Late Imperial"
"99","Demetertempel","Hellenistic","Hellenistic"
"100","Wohnhaus FG/24-25 Phase 2","Late Classical","Late Classical"
"101","Osthafenthermen","Roman imperial","Roman imperial"
"102","Magazinbau am Loewenhafen","Middle Imperial","Middle Imperial"
"103","Suedstadt-Basilika","Byzantine","Byzantine"
"104","Insula DE/25-26","Early imperial","Early Byzantine / Late Antiquity"
"105","Thermen am Humeitepe","Middle Imperial","Middle Imperial"
"106","Nymphaeum","Roman imperial","Roman imperial"
"107","Heroon I","Hellenistic","Middle Imperial"
"110","Juengeres heiliges Tor","Late Classical","Roman imperial"
"111","Insula QR/18-19 Kaiserzeit",NA,NA
"112","Kleines Hafenmonument","Early imperial","Early imperial"
"114","Brunnen in der Suedstadt","Recent / Modern","Recent / Modern"
"115","Vier-Saeulen-Moschee","Late Byzantine","Ottoman"
"116","Hellenistische Hofanlage","Hellenistic","Hellenistic"
"117","Bouleuterion","Hellenistic","Roman imperial"
"120","Antentempel","Hellenistic","Hellenistic"
"121","Delphinion - Kaiserzeitlich","Roman imperial","Early Byzantine / Late Antiquity"
"122","Hafenmauer","Hellenistic","Hellenistic"
"123","Heiligtum am Nordmarkt","Hellenistic","Hellenistic"
"125","Stadtmauer - Suedliche Quermauer, Wiederherstellung der Gotenzeit","Late Imperial","Late Imperial"
"126","Delphinion - hellenistischer Umbau II","Late Hellenistic","Late Hellenistic"
"127","Peristylhaus unter dem Bischospalast","Late Imperial","Early Byzantine / Late Antiquity"
"128","Suedmarkt mit Antiochosstoa","Hellenistic","Roman imperial"
"131","Insula QR/18-19 Fruehhellenistisch",NA,NA
"132","Altar auf der Heiligen Strasse","Hellenistic","Early imperial"
"133","Wohnhaus FG/24-25 Phase 1","Early classical","Early classical"
"136","Markttor von Milet","Hellenistic","Byzantine"
"137","Hafenhalle","Early hellenistic","Roman imperial"
"138","Stadion","Hellenistic","Roman imperial"
"139","Theater","Hellenistic","Roman imperial"
"141","Bischofspalast","Early Byzantine / Late Antiquity","Early Byzantine / Late Antiquity"
"143","Wohngebaeude unter dem Dionysosheiligtum","Classical","Classical"
"144","Magazinhalle am Suedmarkt (Rueckbau)","Late Hellenistic","Roman imperial"
"145","Suedstadtthermen","Late Imperial","Late Imperial"
"147","Delphinion - Fruehklassissch","Early classical","Late Classical"
"149","Antiochosstoa","Hellenistic","Roman imperial"
"150","Capitothermen","Early imperial","Early imperial"
"151","Eumenes-Gymnasion","Hellenistic","Hellenistic"
"152","Wohnhaus FG/24-25 Phase 3","Hellenistic","Hellenistic"
"153","Hafentor","Roman imperial","Roman imperial"
"154","Bau im Peristylhof des Bouleuterions","Late Hellenistic","Early imperial"
"155","Spaetantike Platzanlage am Kalabaktepe","Early Byzantine / Late Antiquity","Early Byzantine / Late Antiquity"
"156","Gebaeude nordwestlich des Hafentores am Humeitepe","Roman imperial","Roman imperial"
"158","Serapeion","Roman imperial","Roman imperial"
"159","Michaelskirche","Byzantine","Byzantine"
"162","Museum","Recent / Modern","Recent / Modern"
"163","Stadtmauer um den Humeitepe","Late Classical","Late Imperial"
