"","group","period","values","dating.min","dating.max","color"
"1","Classical","","Classical",-480,-324,"#441794"
"2","Classical","Early classical","Early classical",-480,-426,"#582BA8"
"3","Classical","Late Classical","Late Classical",-425,-324,"#441794"
"4","Hellenistic","","Hellenistic",-323,-32,"#1A237E"
"5","Hellenistic","Early hellenistic","Early hellenistic",-323,-178,"#283593"
"6","Hellenistic","Late Hellenistic","Late Hellenistic",-177,-32,"#1A237E"
"7","Roman imperial","","Roman imperial",-31,305,"#1565C0"
"8","Roman imperial","Early imperial","Early imperial",-31,98,"#1976D2"
"9","Roman imperial","Middle Imperial","Middle Imperial",100,192,"#1565C0"
"10","Roman imperial","Late Imperial","Late Imperial",193,305,"#0D47A1"
"11","Late Antiquity","Late Antiquity","Late Antiquity",306,699,"#00BCD4"
"12","Byzantine","","Byzantine",306,1299,"#00ACC1"
"13","Byzantine","Early Byzantine / Late Antiquity","Early Byzantine / Late Antiquity",306,699,"#00ACC1"
"14","Byzantine","Middle Byzantine","Middle Byzantine",700,999,"#0097A7"
"15","Byzantine","Late Byzantine","Late Byzantine",1000,1299,"#00838F"
"16","Emirates Period","Emirates Period","Emirates Period",1300,1425,"#43A047"
"17","Ottoman","Ottoman","Ottoman",1426,1899,"#1B5E20"
"18","Recent / Modern","Recent / Modern","Recent / Modern",1900,2023,"#004D40"
"19","undetermined","undetermined","undetermined",-7000,2023,"#000000"
